contratoconvenio_saida;numero_empenho;data_registro_doc_empenho;razao_social_credor;cnpj_cpf_credor_formatado;unidade_orcamentaria_sigla;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;valor_despesa_liquidada;valor_pago_processado;valor_pago_nao_processado
9072845;219;2016-07-01 00:00:00;PM SAO ROMAO;24.891.418/0001-02;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9130884;58;2021-08-02 00:00:00;ASSOC. DE PROT. E ASSIST. AO CONDENADO DE ARAXA;23.370.836/0001-83;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;27;TAXA DE SEGURANCA PUBLICA;0,0;0,0;0,0
9130997;24;2020-02-17 00:00:00;ASSOC. DE PROT. E ASSIST. AO CONDENADO DE CANAPOLIS;08.265.593/0001-20;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9143486;88;2017-07-12 00:00:00;UNIVERSIDADE FEDERAL DE MINAS GERAIS;17.217.985/0001-04;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9164545;207;2017-12-20 00:00:00;PM PERDIZES;18.140.772/0001-94;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9170555;555;2017-12-14 00:00:00;PM BRASILANDIA DE MINAS;01.602.009/0001-35;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;453748,74;0,0
9171962;215;2017-12-20 00:00:00;PM CAXAMBU;18.008.870/0001-72;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9174212;225;2017-12-21 00:00:00;PM COROMANDEL;18.591.149/0001-58;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9174217;233;2017-12-21 00:00:00;PM BELO HORIZONTE;18.715.383/0001-40;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9174830;243;2017-12-22 00:00:00;PM CONSELHEIRO LAFAIETE;19.718.360/0001-51;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9176051;256;2017-12-26 00:00:00;PM CAPELINHA;19.229.921/0001-59;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9176453;279;2017-12-27 00:00:00;PM FORMOSO;18.125.153/0001-20;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9176558;120;2017-12-28 00:00:00;PM SETE LAGOAS;24.996.969/0001-22;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9176575;121;2017-12-28 00:00:00;PM JABOTICATUBAS;18.715.417/0001-04;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9176901;324;2017-12-28 00:00:00;PM CORREGO FUNDO;01.614.862/0001-77;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9192937;277;2021-09-30 00:00:00;PM VIRGINOPOLIS;18.307.512/0001-60;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;90000,0;0,0
9222675;384;2019-10-07 00:00:00;PM TAPIRA;18.140.806/0001-40;SEGOV;1491;SECRETARIA DE ESTADO DE GOVERNO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9240735;60;2019-12-27 00:00:00;CARITAS BRASILEIRA;33.654.419/0008-92;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9251212;5953;2022-12-29 00:00:00;PM PATROCINIO;18.468.033/0001-26;SEGOV;1491;SECRETARIA DE ESTADO DE GOVERNO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;9211610,86;0,0;9211610,86
9251643;3480;2020-07-01 00:00:00;PM UBAI;18.017.459/0001-63;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;0,0;523141,51;0,0
9251678;3481;2020-07-01 00:00:00;PM VARZEA DA PALMA;18.279.059/0001-26;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;0,0;401742,07;0,0
9259504;549;2020-07-28 00:00:00;PM POUSO ALEGRE;18.675.983/0001-21;SEGOV;1491;SECRETARIA DE ESTADO DE GOVERNO;42;AUXILIOS;1;AUXILIOS;48;ALIENACAO DE BENS DO TESOURO ESTADUAL;0,0;0,0;0,0
9261012;594;2020-08-12 00:00:00;PM IGUATAMA;18.306.688/0001-06;SEGOV;1491;SECRETARIA DE ESTADO DE GOVERNO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;250000,0;0,0;250000,0
9264991;114;2021-12-30 00:00:00;APAC BETIM;12.267.378/0001-35;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9265473;116;2023-11-24 00:00:00;INSTITUTO DH:PROMOCAO, PESQUISA E INTERVENCAO EM DIREITOS HUMANOS E CI;09.583.515/0001-36;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,0;999999,99;0,0
9275473;158;2023-12-29 00:00:00;INSTITUTO DH:PROMOCAO, PESQUISA E INTERVENCAO EM DIREITOS HUMANOS E CI;09.583.515/0001-36;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;719877,37;0,0
9275473;159;2023-12-29 00:00:00;INSTITUTO DH:PROMOCAO, PESQUISA E INTERVENCAO EM DIREITOS HUMANOS E CI;09.583.515/0001-36;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;0,0;207971,3;0,0
9275473;160;2023-12-29 00:00:00;INSTITUTO DH:PROMOCAO, PESQUISA E INTERVENCAO EM DIREITOS HUMANOS E CI;09.583.515/0001-36;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;13157,14;0,0
9292240;3869;2023-12-28 00:00:00;PM NOVA SERRANA;18.291.385/0001-59;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;239078,39;0,0
9314874;3271;2023-12-28 00:00:00;PM CONGONHAS DO NORTE;18.303.180/0001-46;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;189311,63;0,0
9315225;2217;2023-12-28 00:00:00;PM IPANEMA;18.334.292/0001-64;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;230238,24;0,0
9315647;322;2023-12-15 00:00:00;PM ARAGUARI;16.829.640/0001-49;SEDE;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;41;CONTRIBUICOES;1;CONTRIBUICOES;32;EXPLORACAO DE RECURSOS MINERAIS;0,0;829088,68;0,0
9317320;1580;2023-12-28 00:00:00;PM JEQUITAI;18.279.083/0001-65;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;1451179,75;0,0
9317414;326;2023-12-18 00:00:00;PM PINGO D'AGUA;01.613.204/0001-60;SEDE;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;41;CONTRIBUICOES;1;CONTRIBUICOES;32;EXPLORACAO DE RECURSOS MINERAIS;0,0;168000,0;0,0
9317414;347;2023-12-28 00:00:00;PM PINGO D'AGUA;01.613.204/0001-60;SEDE;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;41;CONTRIBUICOES;1;CONTRIBUICOES;32;EXPLORACAO DE RECURSOS MINERAIS;0,0;0,0;0,0
9317508;325;2023-12-18 00:00:00;PM PATOS DE MINAS;18.602.011/0001-07;SEDE;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;41;CONTRIBUICOES;1;CONTRIBUICOES;32;EXPLORACAO DE RECURSOS MINERAIS;0,0;387975,0;0,0
9317508;346;2023-12-28 00:00:00;PM PATOS DE MINAS;18.602.011/0001-07;SEDE;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;41;CONTRIBUICOES;1;CONTRIBUICOES;32;EXPLORACAO DE RECURSOS MINERAIS;0,0;0,0;0,0
9318094;35;2023-12-28 00:00:00;ASSOCIACAO COMUNIDADE TERAPEUTICA MAES & FILHOS;17.246.772/0001-00;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86953,8;0,0
9318117;37;2023-12-28 00:00:00;ASSOCIACAO MAE ADMIRAVEL;22.691.398/0001-92;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86949,3;0,0
9318121;22;2023-12-27 00:00:00;ASSOCIACAO COMUNITARIA DE PREVENCAO AO USO INDEVIDO DE DROGAS;03.015.043/0001-39;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;78499,98;0,0
9318123;14;2023-12-27 00:00:00;SER SERVICO EVANGELICO DE REABILITACAO;20.734.505/0002-78;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318125;23;2023-12-27 00:00:00;FUNDACAO MARIANENSE DE EDUCACAO;22.390.686/0001-07;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318128;41;2023-12-28 00:00:00;COMUNIDADE TERAPEUTICA FAMILIA EM CRISTO;19.215.751/0001-53;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318129;17;2023-12-27 00:00:00;GRUPO SALVA VIDAS;23.098.718/0003-20;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318133;13;2023-12-27 00:00:00;ASSOCIACAO GRUPO SARAI;03.782.573/0001-02;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318134;18;2023-12-27 00:00:00;C.R.J.F.C.D.-CENTRO DE RECUPERACAO JUIZ DE FORA CONTRA AS DROGAS;05.467.433/0001-75;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318145;33;2023-12-27 00:00:00;SER SERVICO EVANGELICO DE REABILITACAO;20.734.505/0003-59;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;78500,0;0,0
9318146;16;2023-12-27 00:00:00;OBRAS SOCIAIS AGUA VIVA;06.951.814/0001-98;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318149;31;2023-12-27 00:00:00;COMVIDA - COMUNIDADE TERAPEUTICA FAZENDA VIDA NOVA;02.970.363/0001-85;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318151;25;2023-12-27 00:00:00;FUNDACAO MARIANENSE DE EDUCACAO;22.390.686/0006-11;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318152;26;2023-12-27 00:00:00;ESQUADRAO DA VIDA DE MONTES CLAROS;25.224.130/0001-39;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318155;34;2023-12-27 00:00:00;ACAO SOCIAL CENTRO DE REINTEGRACAO A SOCIEDADE MAIS QUE VENCEDORES;16.801.598/0001-58;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86698,26;0,0
9318341;21;2023-12-27 00:00:00;ASSOCIACAO CRISTA BANCO DA SOLIDARIEDADE;10.320.290/0001-04;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86838,54;0,0
9318347;10;2023-12-27 00:00:00;COMUNIDADE TERAPEUTICA CASA DIA;04.970.973/0001-04;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318350;29;2023-12-27 00:00:00;COMUNIDADE TERAPEUTICA FILHOS DO REI;13.134.031/0001-87;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318366;586;2021-12-30 00:00:00;PM PINGO D'AGUA;01.613.204/0001-60;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9318468;350;2023-12-29 00:00:00;PM ESMERALDAS;18.715.466/0001-39;SEDE;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;41;CONTRIBUICOES;1;CONTRIBUICOES;32;EXPLORACAO DE RECURSOS MINERAIS;0,0;0,0;0,0
9318470;338;2023-12-28 00:00:00;PM CORREGO NOVO;18.334.284/0001-18;SEDE;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;41;CONTRIBUICOES;1;CONTRIBUICOES;32;EXPLORACAO DE RECURSOS MINERAIS;0,0;0,0;0,0
9318470;352;2023-12-29 00:00:00;PM CORREGO NOVO;18.334.284/0001-18;SEDE;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;41;CONTRIBUICOES;1;CONTRIBUICOES;32;EXPLORACAO DE RECURSOS MINERAIS;0,0;62400,0;0,0
9318532;24;2023-12-27 00:00:00;COMUNIDADE TERAPEUTICA ETM;09.405.431/0001-02;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318572;501;2021-12-30 00:00:00;INSTITUTO DE PESQUISA WAITA;13.704.197/0001-91;IEF;2101;INSTITUTO ESTADUAL DE FLORESTAS;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9318573;500;2021-12-30 00:00:00;CIRCULO DOS ORQUIDOFILOS DE LAVRAS;04.494.629/0001-96;IEF;2101;INSTITUTO ESTADUAL DE FLORESTAS;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9318578;3093;2021-12-30 00:00:00;PM LAGOA DA PRATA;18.318.618/0001-60;SEGOV;1491;SECRETARIA DE ESTADO DE GOVERNO;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9318589;19;2023-12-27 00:00:00;ASSOCIACAO BATISTA DE ASSISTENCIA SOCIAL;17.177.874/0001-11;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;78480,18;0,0
9318604;461;2021-12-30 00:00:00;REDE CIDADA;05.461.315/0001-50;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9318616;9;2023-12-27 00:00:00;ASSOCIACAO TEMPLO DE ISRAEL;11.423.964/0001-69;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86760,36;0,0
9318645;28;2023-12-27 00:00:00;PROJETO EBENEZER;22.997.041/0001-37;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86507,52;0,0
9318649;30;2023-12-27 00:00:00;ACAO SOCIAL CENTRO DE REINTEGRACAO A SOCIEDADE MAIS QUE VENCEDORES;16.801.598/0002-39;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86645,58;0,0
9318686;27;2023-12-27 00:00:00;CENTRO MADRE TEREZA;03.759.408/0001-30;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318688;20;2023-12-27 00:00:00;ASSOCIACAO JOAO PAULO II;08.027.860/0001-20;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86953,98;0,0
9318691;39;2023-12-28 00:00:00;CENTRO DE RECUPERACAO RESGATANDO VIDAS;03.551.218/0001-22;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;86954,0;0,0
9318705;42;2023-12-28 00:00:00;ASS NUCLEO DE APOIO TOXICOM E ALCOOL FAZ AGUA VIVA-;22.706.287/0001-02;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;0,0;82954,0;0,0
